Id,average_steps,average_calories
8877689391,17417.0,3451.0
4319703577,7821.0,1994.0
6962181067,12640.0,2089.0
3372868164,6128.0,1860.0
4057192912,1887.0,1904.0
4388161847,0.0,1805.0
4702921684,7943.0,2821.0
6775888955,5559.0,2725.0
7086361926,6104.0,2177.0
1644430081,9275.0,2916.0
5553957443,8355.0,1803.0
8583815059,3046.0,2391.0
1624580081,4226.0,1353.0
2873212765,6637.0,1696.0
8053475328,14844.0,2893.0
2320127002,3138.0,1532.0
5577150313,8608.0,3300.0
6391747486,1337.0,1763.0
2022484408,12175.0,2475.0
2347167796,9800.0,2021.0
2891001357,774.0,2273.0
4445114986,4293.0,2108.0
6290855005,1618.0,2166.0
8378563200,8135.0,3356.0
1503960366,11641.0,1796.0
4020332650,5777.0,3075.0
7007744171,12260.0,2627.0
8792009665,3095.0,2074.0
8253242879,2390.0,1463.0
1844505072,3641.0,1616.0
2026352035,3393.0,1356.0
3977333714,8664.0,1398.0
4558609924,5785.0,1830.0
6117666160,8249.0,2099.0
1927972279,2181.0,2254.0
